country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Angola,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
United Arab Emirates,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,,,,,,,,,,,,0,0,0,89.1k,216k,221k,141k,249k,232k,201k,242k,161k,293k,399k,496k,491k,556k,499k,433k,626k,667k,609k,666k,708k,608k,641k,685k,641k,611k,531k,607k,501k,651k,677k,591k,661k,621k,630k,702k,617k,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,26.1k,200k,138k,137k,179k,172k,171k,196k,172k,189k,234k,227k,220k,212k,214k,214k,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium,0,0,344,4040,4390,,516,8080,5250,1890,4900,,946,6540,12.7k,583k,863k,1.03M,1.08M,981k,1.08M,1.11M,1.35M,2.07M,2.38M,2.98M,3.39M,3.61M,3.71M,3.54M,3.67M,3.69M,3.74M,3.6M,3.49M,3.56M,3.73M,4.08M,3.97M,4.21M,4.14M,3.98M,4.07M,4.07M,4.07M,4.09M,4.01M,4.15M,3.92M,4.06M,4.12M,4.15M
Benin,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bulgaria,,,,,,,,,,,,0,0,0,79.8k,220k,429k,506k,508k,531k,530k,784k,924k,1.06M,1.09M,1.13M,1.04M,1.07M,1.38M,1.25M,1.26M,1.13M,993k,1.2M,1.32M,1.48M,1.55M,1.53M,1.45M,1.36M,1.56M,1.68M,1.74M,1.49M,1.45M,1.6M,1.68M,1.26M,1.36M,1.31M,1.31M,
Bahrain,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brazil,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,141k,291k,12.4k,83.7k,52.3k,157k,192k,124k,151k,38k,4730,217k,209k,273k,281k,342k,520k,1.23M,1.19M,1.15M,998k,847k,1.18M,1.06M,1.2M,1.11M,1.25M,
Brunei,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canada,0,0,0,8000,13k,11k,14.8k,13.2k,78.9k,45.5k,89.2k,367k,620k,1.31M,1.26M,1.08M,1.5M,2.27M,2.68M,3.03M,3.27M,3.44M,3.3M,4.18M,4.49M,5.2M,6.13M,6.64M,7.13M,6.87M,6.27M,7.3M,6.93M,8.08M,9.27M,8.41M,7.98M,7.1M,6.15M,6.32M,6.26M,6.59M,6.49M,6.44M,7.77M,7.91M,8.42M,8.04M,8.08M,7.75M,7.79M,7.82M
Switzerland,0,0,0,0,0,0,0,0,0,46k,152k,120k,330k,543k,608k,667k,683k,698k,722k,1.01M,1.23M,1.32M,1.3M,1.35M,1.59M,1.94M,1.94M,1.98M,1.96M,1.96M,2.03M,1.97M,2.02M,2.01M,2.1M,2.14M,2.16M,2.19M,2.22M,2.22M,2.27M,2.31M,2.34M,2.36M,2.32M,2.01M,2.39M,2.4M,2.38M,2.38M,2.27M,2.3M
Chile,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
